ticker,fiscal_date_ending,reported_date,reported_eps,estimated_eps,surprise,surprise_percentage,source,availability_date,point_in_time_usable,provider,validation_note
C,2011-09-30,2011-10-17,1.23,0.79,0.44,55.6962,AlphaVantage EARNINGS quarterlyEarnings,2011-10-17,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2011-06-30,2011-07-15,1.09,0.96,0.13,13.5417,AlphaVantage EARNINGS quarterlyEarnings,2011-07-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2011-03-31,2011-04-18,1.0,0.95,0.05,5.2632,AlphaVantage EARNINGS quarterlyEarnings,2011-04-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2010-12-31,2011-01-18,0.4,0.77,-0.37,-48.0519,AlphaVantage EARNINGS quarterlyEarnings,2011-01-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2010-09-30,2010-10-18,0.8,0.55,0.25,45.4545,AlphaVantage EARNINGS quarterlyEarnings,2010-10-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2010-06-30,2010-07-16,0.9,0.46,0.44,95.6522,AlphaVantage EARNINGS quarterlyEarnings,2010-07-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2010-03-31,2010-04-19,1.5,-0.07,1.57,2242.8571,AlphaVantage EARNINGS quarterlyEarnings,2010-04-19,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2009-12-31,2010-01-19,-3.3,-3.27,-0.03,-0.9174,AlphaVantage EARNINGS quarterlyEarnings,2010-01-19,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2009-09-30,2009-10-15,-2.7,-3.32,0.62,18.6747,AlphaVantage EARNINGS quarterlyEarnings,2009-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2009-06-30,2009-07-17,-6.2,-3.05,-3.15,-103.2787,AlphaVantage EARNINGS quarterlyEarnings,2009-07-17,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2009-03-31,2009-04-17,-1.2,-2.97,1.77,59.596,AlphaVantage EARNINGS quarterlyEarnings,2009-04-17,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2008-12-31,2009-01-16,-24.4,-12.49,-11.91,-95.3563,AlphaVantage EARNINGS quarterlyEarnings,2009-01-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2008-09-30,2008-10-16,-7.1,-6.99,-0.11,-1.5737,AlphaVantage EARNINGS quarterlyEarnings,2008-10-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2008-06-30,2008-07-18,-4.9,-6.66,1.76,26.4264,AlphaVantage EARNINGS quarterlyEarnings,2008-07-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2008-03-31,2008-04-18,-10.2,-9.57,-0.63,-6.5831,AlphaVantage EARNINGS quarterlyEarnings,2008-04-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2007-12-31,2008-01-15,-19.9,-10.06,-9.84,-97.8131,AlphaVantage EARNINGS quarterlyEarnings,2008-01-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2007-09-30,2007-10-15,4.7,4.69,0.01,0.2132,AlphaVantage EARNINGS quarterlyEarnings,2007-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2007-06-30,2007-07-20,11.8,11.32,0.48,4.2403,AlphaVantage EARNINGS quarterlyEarnings,2007-07-20,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
