config,regime_axis,regime_label,n_months,mean_monthly_return,ann_vol,sharpe,note
u296:momentum_bucket:top_decile,inflation_regime,inflation_up,62,0.028371,0.253444,1.343298,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,rates_regime,rates_down,47,0.044892,0.255829,2.105715,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,rates_regime,rates_up,66,0.019972,0.233727,1.025402,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,dollar_regime,dollar_down,53,0.028661,0.250819,1.371241,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,dollar_regime,dollar_up,60,0.031817,0.24326,1.569543,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,risk_regime,risk_off,15,0.014059,0.265148,0.636297,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,risk_regime,risk_on,98,0.023677,0.18366,1.54703,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,vol_regime,high_vol,72,0.020404,0.207316,1.181063,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,vol_regime,low_vol,36,0.02747,0.183576,1.795641,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,trend_regime,above_trend,90,0.01765,0.173632,1.219825,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,trend_regime,below_trend,20,0.044526,0.274659,1.945358,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,inflation_regime,disinflation,51,0.025515,0.188151,1.627317,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,inflation_regime,inflation_up,62,0.019839,0.202029,1.178369,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,rates_regime,rates_down,47,0.033158,0.204888,1.942031,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,rates_regime,rates_up,66,0.01474,0.185132,0.955413,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,dollar_regime,dollar_down,53,0.021023,0.196327,1.284996,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_quintile,dollar_regime,dollar_up,60,0.023617,0.195891,1.446756,diagnostic only; not used for selection or weighting
