side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,sector_repaired,before_review_label,cohort,liquidity_proxy,review_status
SHORT,463,AMZN,-2.73784,-1.97025,Consumer Discretionary,False,False,SHORT,old,8421941682.37484,PAPER_REVIEW_ONLY
SHORT,464,COHR,-2.88072,-2.11086,Information Technology,False,True,SHORT,old,193111788.66134,PAPER_REVIEW_ONLY
SHORT,465,SWK,-2.9245,-2.79481,Industrials,False,True,SHORT,new,168163886.14803,PAPER_REVIEW_ONLY
SHORT,466,WBD,-3.08076,0.03658,Communication Services,False,True,HOLD,old,274235628.13802,PAPER_REVIEW_ONLY
SHORT,467,PNR,-3.2025,-3.0805,Industrials,False,True,SHORT,new,93758988.66961,PAPER_REVIEW_ONLY
SHORT,468,APTV,-3.38069,-1.74093,Consumer Discretionary,False,True,SHORT,new,183699022.02728,PAPER_REVIEW_ONLY
SHORT,469,BALL,-3.42666,-4.11589,Materials,False,True,SHORT,new,146405764.60994,PAPER_REVIEW_ONLY
SHORT,470,MKC,-3.51554,-3.75572,Consumer Staples,False,True,SHORT,new,176779841.44486,PAPER_REVIEW_ONLY
SHORT,471,CLX,-3.63907,-3.35832,Consumer Staples,False,True,SHORT,new,198104099.86705,PAPER_REVIEW_ONLY
SHORT,472,J,-3.64319,-3.48265,Industrials,False,True,SHORT,new,82196842.05247,PAPER_REVIEW_ONLY
SHORT,473,HII,-3.70721,-3.54199,Industrials,False,True,SHORT,new,86383841.46825,PAPER_REVIEW_ONLY
SHORT,474,CBRE,-3.77285,-4.01726,Real Estate,False,True,SHORT,new,133441799.37628,PAPER_REVIEW_ONLY
SHORT,475,PSKY,-3.92553,-0.72343,Communication Services,False,True,HOLD,new,289214360.65994,PAPER_REVIEW_ONLY
SHORT,476,FSLR,-4.00981,-3.12216,Information Technology,False,True,SHORT,new,265853418.93252,PAPER_REVIEW_ONLY
SHORT,477,PSX,-4.10584,-3.7613,Energy,False,True,SHORT,old,252871468.29936,PAPER_REVIEW_ONLY
SHORT,478,QCOM,-4.14633,-3.7303,Information Technology,False,False,SHORT,old,1059492593.47649,PAPER_REVIEW_ONLY
SHORT,479,WDC,-4.63795,-3.71866,Information Technology,False,True,SHORT,old,448572374.97604,PAPER_REVIEW_ONLY
SHORT,480,MAS,-4.69864,-4.54068,Industrials,False,True,SHORT,new,125421593.6439,PAPER_REVIEW_ONLY
SHORT,481,NOC,-5.08953,-4.90491,Industrials,False,False,SHORT,old,331514933.96267,PAPER_REVIEW_ONLY
SHORT,482,CTVA,-5.62798,-6.08138,Materials,False,True,SHORT,new,193732931.54763,PAPER_REVIEW_ONLY
SHORT,483,ASML,-8.80095,-8.19163,Information Technology,False,True,SHORT,old,633881800.53494,PAPER_REVIEW_ONLY
