date,ticker,regime,return_20d,return_63d,return_126d,mom_acceleration,price_vs_sma50,price_vs_sma200,sma50_vs_200,return_zscore_5d,dist_sma20,rs_20d_vs_spy,rs_63d_vs_spy,residual_alpha_20d,realized_vol_63d,downside_vol_63d,vol_adj_momentum,avg_dollar_volume_20d,forward_return_20d,forward_excess_return_20d_vs_spy,top_quintile_forward_excess_return
2026-04-30,MSFT,risk_on,0.103988,-0.057184,-0.244607,0.192413,0.030292,-0.126953,-0.152621,-1.050183,0.010547,0.007199,-0.095485,0.003697,0.298379,0.218172,-0.191649,13919087103.657227,0.106516,0.05389,1
2026-04-30,MU,risk_on,0.405899,0.187217,1.332415,0.487655,0.222385,0.882437,0.539971,-0.711504,0.141715,0.30911,0.148915,0.166358,0.711197,0.461538,0.263242,17979766739.189453,0.877562,0.824936,1
2026-04-30,NEE,risk_on,0.054173,0.117571,0.187205,0.051474,0.056918,0.188381,0.124383,-1.220373,0.047702,-0.042616,0.07927,0.049861,0.254399,0.143266,0.462151,820194632.681847,-0.111054,-0.16368,0
2026-04-30,NFLX,risk_on,-0.020304,0.125661,-0.15093,0.011219,-0.008133,-0.102729,-0.095371,1.128953,-0.044011,-0.117092,0.08736,-0.065468,0.448643,0.277289,0.280092,4139803543.919945,-0.081081,-0.133707,0
2026-04-30,NKE,risk_on,-0.00605,-0.28667,-0.333538,0.232866,-0.142848,-0.301893,-0.185551,1.786927,-0.005247,-0.102839,-0.324972,-0.084111,0.421336,0.376974,-0.680384,1082056415.18713,0.042155,-0.010471,0
2026-04-30,NOC,risk_on,-0.168608,-0.163966,-0.019087,-0.093208,-0.158605,-0.061316,0.115629,1.0389,-0.097672,-0.265397,-0.202268,-0.164165,0.304432,0.236104,-0.538598,524899654.386597,-0.027266,-0.079891,0
2026-04-30,NOW,risk_on,-0.151192,-0.243468,-0.529219,-0.064946,-0.147268,-0.413142,-0.311791,1.659482,-0.058233,-0.247981,-0.281769,-0.205135,0.650569,0.533911,-0.374238,2648697273.415642,0.408334,0.355709,1
2026-04-30,NVDA,risk_on,0.135533,0.03673,-0.007154,0.175309,0.06756,0.086357,0.017608,-1.402447,0.017327,0.038744,-0.001572,-0.0329,0.391374,0.259981,0.093848,29166186951.844788,0.057975,0.005349,0
2026-04-30,ORCL,risk_on,0.115153,-0.041751,-0.421779,0.162013,0.042434,-0.236742,-0.267812,-0.385596,-0.008194,0.018364,-0.080052,-0.049891,0.591632,0.360907,-0.070569,5215707157.414322,0.398971,0.346346,1
2026-04-30,ORLY,risk_on,0.079262,0.005564,0.032191,0.102281,0.07381,0.022237,-0.048028,1.746433,0.066243,-0.017527,-0.032737,0.0361,0.285631,0.173891,0.01948,451489595.792465,-0.125956,-0.178582,0
2026-04-30,PANW,risk_on,0.116076,0.017707,-0.18999,0.102769,0.098688,-0.031173,-0.118197,-0.253371,0.049643,0.019288,-0.020594,0.029399,0.464026,0.351008,0.03816,1252872910.86235,0.570879,0.518253,1
2026-04-30,PEP,risk_on,0.02483,0.075432,0.075606,0.072953,0.004463,0.071984,0.067221,1.067167,0.016023,-0.071959,0.03713,0.021827,0.228999,0.133243,0.329398,903421413.864975,-0.090226,-0.142852,0
2026-04-30,PFE,risk_on,-0.064799,0.022989,0.127562,-0.1373,-0.01619,0.058654,0.076076,1.671935,-0.01623,-0.161587,-0.015313,-0.102541,0.23351,0.152642,0.098448,899497882.583017,-0.00329,-0.055916,0
2026-04-30,PG,risk_on,0.028507,-0.011357,-0.014007,0.118273,-0.011144,-0.009732,0.001428,-0.88007,0.020108,-0.068282,-0.049658,2e-05,0.212999,0.151002,-0.053319,1256044852.24823,-0.023999,-0.076625,0
2026-04-30,PH,risk_on,-0.012327,-0.039314,0.190448,0.055522,-0.043218,0.070107,0.118444,-1.74106,-0.05347,-0.109116,-0.077615,-0.10776,0.299993,0.211334,-0.131048,573982867.608948,-0.069144,-0.12177,0
