date,ticker,regime,price_plus_event_score,y_excess_20d,excess_5d,excess_10d,raw_return_20d
2017-04-28,CRM,risk_on,-0.311538,0.039444,0.003065,0.030126,0.054691
2017-04-28,CSCO,risk_on,-0.614562,-0.09068,0.002588,-0.021978,-0.075433
2017-04-28,CVS,risk_on,-1.198488,-0.085601,-0.023544,-0.03083,-0.070354
2017-04-28,CVX,risk_on,0.053135,-0.02382,-0.015333,-0.010715,-0.008573
2017-04-28,DE,risk_on,0.445589,0.084923,0.006635,0.009659,0.10017
2017-04-28,DIS,risk_on,-0.84274,-0.077444,-0.038033,-0.054904,-0.062197
2017-04-28,DUK,risk_on,-1.000455,0.026622,-0.000986,0.008099,0.041869
2017-04-28,ELV,risk_on,0.507633,0.013929,0.006743,0.016176,0.029175
2017-04-28,EMR,risk_on,0.117199,-0.029771,-0.029034,-0.043058,-0.014524
2017-04-28,EOG,risk_on,1.239946,-0.029085,-0.024318,0.020003,-0.013838
2017-04-28,EQIX,risk_on,-2.338689,0.046036,0.013665,0.028229,0.061282
2017-04-28,ETN,risk_on,-0.467613,0.018177,0.017293,0.017919,0.033424
2017-04-28,FDX,risk_on,-0.867686,0.008792,0.007534,0.006552,0.024038
2017-04-28,GD,risk_on,-0.082327,0.028357,0.004445,0.005508,0.043604
2017-04-28,GE,risk_on,-0.376022,-0.068368,0.001129,-0.028616,-0.053122
2017-04-28,GILD,risk_on,-1.133741,-0.074328,-0.017745,-0.040104,-0.059081
2017-04-28,GOOG,risk_on,-0.945597,0.057063,0.016563,0.025206,0.07231
2017-04-28,GOOGL,risk_on,-0.968447,0.059116,0.021059,0.02934,0.074363
