endpoint_family,ticker,endpoint,priority,attempted,status,http_status,rows,first_date,last_date,has_point_in_time_dates,historical_depth_sufficient,usable_for_backtest,note,endpoint_redacted
fundamentals_statements,JPM,fundamentals,3_fmp_covered_crosscheck,True,OK,,163,1985-09-30,2026-05-01,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/JPM.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,JPM,fundamentals,3_fmp_covered_crosscheck,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/JPM.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,JPM,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/JPM.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,JPM,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=JPM.US&<API_KEY_REDACTED>
earnings_history,GOOGL,fundamentals,4_phase5c_fallback,True,OK,,88,2004-10-21,2026-07-22,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/GOOGL.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,GOOGL,fundamentals,4_phase5c_fallback,True,OK,,97,2002-03-31,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/GOOGL.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,GOOGL,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/GOOGL.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,GOOGL,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/GOOGL.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,GOOGL,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=GOOGL.US&<API_KEY_REDACTED>
earnings_history,META,fundamentals,4_phase5c_fallback,True,OK,,58,2012-05-30,2026-07-29,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/META.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,META,fundamentals,4_phase5c_fallback,True,OK,,65,2010-03-31,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/META.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,META,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/META.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,META,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/META.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,META,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=META.US&<API_KEY_REDACTED>
earnings_history,TSLA,fundamentals,4_phase5c_fallback,True,OK,,65,2010-08-05,2026-07-22,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/TSLA.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,TSLA,fundamentals,4_phase5c_fallback,True,OK,,74,2007-03-31,2026-04-23,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/TSLA.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,TSLA,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/TSLA.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,TSLA,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/TSLA.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,TSLA,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=TSLA.US&<API_KEY_REDACTED>
earnings_history,AVGO,fundamentals,4_phase5c_fallback,True,OK,,68,2009-09-04,2026-06-03,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AVGO.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AVGO,fundamentals,4_phase5c_fallback,True,OK,,78,2007-01-31,2026-06-09,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AVGO.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AVGO,fundamentals,4_phase5c_fallback,True,OK,,40,2017-04-30,2027-10-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AVGO.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AVGO,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AVGO.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AVGO,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AVGO.US&<API_KEY_REDACTED>
earnings_history,COST,fundamentals,4_phase5c_fallback,True,OK,,101,1997-11-30,2026-05-28,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/COST.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,COST,fundamentals,4_phase5c_fallback,True,OK,,165,1985-08-31,2026-06-03,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/COST.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,COST,fundamentals,4_phase5c_fallback,True,OK,,40,2017-05-31,2027-08-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/COST.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,COST,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/COST.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,COST,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=COST.US&<API_KEY_REDACTED>
earnings_history,PEP,fundamentals,4_phase5c_fallback,True,OK,,126,1994-03-31,2026-07-09,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/PEP.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,PEP,fundamentals,4_phase5c_fallback,True,OK,,163,1985-09-30,2026-04-16,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/PEP.US?fmt=json&<API_KEY_REDACTED>
