family,ticker,status,available_date,value,pit_ok
short_interest_days_to_cover,LULU,OK,2018-02-15,1.33,True
short_interest_days_to_cover,LULU,OK,2018-02-28,3.25,True
short_interest_days_to_cover,LULU,OK,2018-03-15,3.05,True
short_interest_days_to_cover,LULU,OK,2018-03-29,1.56,True
short_interest_days_to_cover,LULU,OK,2018-04-13,2.1,True
short_interest_days_to_cover,LULU,OK,2018-04-30,2.35,True
short_interest_days_to_cover,LULU,OK,2018-05-15,2.93,True
short_interest_days_to_cover,LUV,OK,2017-12-29,2.96,True
short_interest_days_to_cover,LUV,OK,2018-01-12,2.51,True
short_interest_days_to_cover,LUV,OK,2018-01-31,1.94,True
short_interest_days_to_cover,LUV,OK,2018-02-15,1.9,True
short_interest_days_to_cover,LUV,OK,2018-02-28,2.48,True
short_interest_days_to_cover,LUV,OK,2018-03-15,2.42,True
short_interest_days_to_cover,LUV,OK,2018-03-29,2.19,True
short_interest_days_to_cover,LUV,OK,2018-04-13,2.21,True
short_interest_days_to_cover,LUV,OK,2018-04-30,1.89,True
short_interest_days_to_cover,LUV,OK,2018-05-15,1.87,True
short_interest_days_to_cover,LVS,OK,2017-12-29,2.61,True
short_interest_days_to_cover,LVS,OK,2018-01-12,2.38,True
short_interest_days_to_cover,LVS,OK,2018-01-31,1.08,True
short_interest_days_to_cover,LVS,OK,2018-02-15,1.6,True
short_interest_days_to_cover,LVS,OK,2018-02-28,2.62,True
short_interest_days_to_cover,LVS,OK,2018-03-15,1.85,True
short_interest_days_to_cover,LVS,OK,2018-03-29,1.44,True
short_interest_days_to_cover,LVS,OK,2018-04-13,1.53,True
short_interest_days_to_cover,LVS,OK,2018-04-30,1.28,True
short_interest_days_to_cover,LVS,OK,2018-05-15,2.04,True
short_interest_days_to_cover,LYB,OK,2017-12-29,7.63,True
short_interest_days_to_cover,LYB,OK,2018-01-12,7.61,True
short_interest_days_to_cover,LYB,OK,2018-01-31,4.9,True
short_interest_days_to_cover,LYB,OK,2018-02-15,2.75,True
short_interest_days_to_cover,LYB,OK,2018-02-28,4.74,True
short_interest_days_to_cover,LYB,OK,2018-03-15,4.37,True
short_interest_days_to_cover,LYB,OK,2018-03-29,3.39,True
short_interest_days_to_cover,LYB,OK,2018-04-13,3.77,True
