name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_rmean_21_raw,scenario,orthogonal,-0.0219,-1.08,0.0095,0.51,False,False
f_rmean_21_sn,scenario,orthogonal,-0.0097,-0.52,0.0077,0.42,False,False
f_rstd_21_raw,scenario,orthogonal,-0.0237,-1.16,-0.0087,-0.43,False,False
f_rstd_21_sn,scenario,orthogonal,-0.0052,-0.32,-0.0094,-0.47,False,False
f_rchg_21_raw,scenario,orthogonal,0.0317,1.68,-0.0021,-0.1,False,True
f_rchg_21_sn,scenario,orthogonal,0.0269,1.66,-0.0018,-0.09,False,True
f_rmean_63_raw,scenario,orthogonal,-0.0139,-0.79,0.005,0.25,False,False
f_rmean_63_sn,scenario,orthogonal,-0.0123,-0.75,0.0037,0.19,False,False
f_rstd_63_raw,scenario,orthogonal,-0.0165,-0.81,0.0079,0.39,False,False
f_rstd_63_sn,scenario,orthogonal,-0.0172,-1.09,0.0071,0.35,False,False
f_rchg_63_raw,scenario,orthogonal,0.018,0.99,0.0144,0.65,True,False
f_rchg_63_sn,scenario,orthogonal,0.0199,1.23,0.0146,0.66,True,False
f_z_raw,scenario,orthogonal,0.0017,0.08,0.0068,0.32,True,False
f_z_sn,scenario,orthogonal,0.0381,1.94,0.0063,0.3,True,False
f_sector_z_raw,scenario,orthogonal,0.022,1.2,0.0097,0.46,True,False
f_sector_z_sn,scenario,orthogonal,0.0243,1.26,0.0063,0.3,True,False
f_rank_raw,scenario,orthogonal,0.0017,0.08,0.0068,0.32,True,False
f_rank_sn,scenario,orthogonal,0.0175,0.87,0.0062,0.29,True,False
f_winz_raw,scenario,orthogonal,0.0016,0.08,0.0068,0.32,True,False
f_winz_sn,scenario,orthogonal,0.0319,1.64,0.0048,0.23,True,False
f_x_surprise_raw,scenario,orthogonal,-0.0259,-1.45,-0.0125,-0.74,False,False
f_x_surprise_sn,scenario,orthogonal,-0.0213,-1.07,-0.0129,-0.76,False,False
f_x_quality_raw,scenario,orthogonal,-0.0344,-2.1,-0.0072,-0.44,False,False
